Address,flat_type,floor_area_list,resale_price_list
453A Bt Batok West Ave 6 S(651453),4-Room,93.0 sqm,"$650,000"
103A Depot Rd S(101103),4-Room,100.0 sqm,"$650,000"
17A Telok Blangah Cres S(091017),4-Room,101.0 sqm,"$650,000"
141 Simei St 2 S(520141),4-Room,104.0 sqm,"$650,000"
166 Tampines St 12 S(521166),4-Room,103.0 sqm,"$650,000"
720 Bedok Reservoir Rd S(470720),4-Room,104.0 sqm,"$650,000"
334 Hougang Ave 5 S(530334),4-Room,104.0 sqm,"$650,000"
336 Ang Mo Kio Ave 1 S(560336),4-Room,91.0 sqm,"$650,000"
637 Jurong West St 61 S(640637),5-Room,110.0 sqm,"$650,000"
128A Punggol Field Walk S(821128),5-Room,110.0 sqm,"$650,000"
318A Anchorvale Link S(541318),5-Room,110.0 sqm,"$650,000"
589C Montreal Dr S(753589),5-Room,110.0 sqm,"$650,000"
465 Segar Rd S(670465),5-Room,110.0 sqm,"$650,000"
688B Choa Chu Kang Dr S(682688),5-Room,110.0 sqm,"$650,000"
602 Jurong West St 62 S(640602),5-Room,115.0 sqm,"$650,000"
227A Compassvale Dr S(541227),5-Room,122.0 sqm,"$650,000"
678 Choa Chu Kang Cres S(680678),5-Room,122.0 sqm,"$650,000"
756 Woodlands Ave 4 S(730756),5-Room,122.0 sqm,"$650,000"
517 Choa Chu Kang St 51 S(680517),5-Room,121.0 sqm,"$650,000"
240 Yishun Ring Rd S(760240),5-Room,121.0 sqm,"$650,000"
323D Sumang Walk S(824323),4-Room,93.0 sqm,"$655,000"
104B Canberra St S(752104),4-Room,93.0 sqm,"$655,000"
354A Admiralty Dr S(751354),5-Room,110.0 sqm,"$655,000"
98 Bedok Nth Ave 4 S(460098),5-Room,120.0 sqm,"$655,000"
262 Toa Payoh East S(310262),3-Room,68.0 sqm,"$656,000"
574B Woodlands Dr 16 S(732574),4-Room,93.0 sqm,"$658,000"
561A Jurong West St 42 S(641561),4-Room,93.0 sqm,"$658,000"
31 Eunos Cres S(400031),3-Room,60.0 sqm,"$658,888"
162A Rivervale Cres S(541162),4-Room,93.0 sqm,"$658,888"
290B Compassvale Cres S(542290),4-Room,90.0 sqm,"$658,888"
224B Sumang Lane S(822224),4-Room,93.0 sqm,"$660,000"
